pg,Sitios Vazios,Particulas Pequenas,Particulas Grandes
0.0,0.5778333333333333,299.42216666666667,0.0
0.09999999999999998,0.7926666666666666,299.20033333333333,0.007
0.19999999999999996,1.2245,298.74583333333334,0.029666666666666668
0.30000000000000004,1.9065,298.0208333333333,0.07266666666666667
0.4,3.649,296.1306666666667,0.22033333333333333
0.5,13.395333333333333,285.48583333333335,1.1188333333333333
0.6,186.38016666666667,77.36266666666667,36.25716666666667
0.7,204.5765,21.3795,74.044
0.8,193.19583333333333,6.120833333333334,100.68333333333334
0.9,177.04366666666667,1.1736666666666666,121.78266666666667
1.0,170.3435,0.0,129.6565
